0.040	98.595	203.701	0.9923
0.050	74.997	172.199	0.9915
0.060	62.852	150.799	0.9906
0.070	53.790	135.500	0.9899
0.080	45.784	123.734	0.9895
0.090	39.651	114.102	0.9892
0.100	34.464	105.600	0.9889
0.125	24.965	89.250	0.9884
0.150	18.572	76.960	0.9882
0.175	14.274	66.930	0.9879
0.200	11.733	59.370	0.9873
0.250	8.586	48.235	0.9858
0.300	6.759	40.960	0.9844
0.350	5.438	35.599	0.9834
0.400	4.454	31.485	0.9826
0.500	3.072	25.581	0.9817
0.600	2.273	21.403	0.9806
0.700	1.770	18.328	0.9794
0.800	1.444	15.955	0.9778
0.900	1.264	14.021	0.9749
1.000	1.212	12.464	0.9697
1.100	1.201	11.181	0.9630
1.200	1.260	10.010	0.9521
1.300	1.468	8.949	0.9318
1.400	2.237	8.212	0.8852
1.500	2.745	8.309	0.8678
1.600	2.625	8.597	0.8794
1.700	2.143	8.573	0.8972
1.800	1.741	8.205	0.9069
1.900	1.488	7.821	0.9116
2.000	1.304	7.479	0.9148
2.200	1.018	6.846	0.9200
2.400	0.826	6.283	0.9228
2.600	0.695	5.800	0.9238
2.800	0.598	5.385	0.9242
3.000	0.523	5.024	0.9241
3.200	0.460	4.708	0.9243
3.400	0.407	4.426	0.9245
3.600	0.363	4.174	0.9246
3.800	0.326	3.946	0.9247
4.000	0.294	3.740	0.9248
4.200	0.267	3.552	0.9248
4.400	0.244	3.380	0.9249
4.600	0.223	3.222	0.9249
4.800	0.205	3.076	0.9249
5.000	0.190	2.942	0.9244
6.000	0.130	2.391	0.9257
6.500	0.110	2.173	0.9260
7.000	0.095	1.983	0.9262
7.500	0.082	1.814	0.9265
8.000	0.072	1.663	0.9269
8.500	0.063	1.527	0.9272
9.000	0.056	1.402	0.9277
9.500	0.049	1.286	0.9282
10.000	0.044	1.178	0.9286
10.500	0.040	1.076	0.9293
11.000	0.036	0.979	0.9298
11.500	0.033	0.883	0.9283
12.000	0.033	0.791	0.9224
12.500	0.034	0.700	0.9118

