0.10	8.17	82.83	0.995
0.20	2.13	41.73	0.995
0.30	0.99	27.82	0.995
0.40	0.59	20.83	0.995
0.50	0.39	16.61	0.994
0.60	0.28	13.78	0.994
0.70	0.22	11.75	0.994
0.80	0.18	10.21	0.993
0.90	0.15	9.01	0.993
1.00	0.13	8.03	0.992
1.20	0.10	6.54	0.991
1.40	0.08	5.44	0.989
1.60	0.08	4.56	0.986
1.80	0.09	3.82	0.979
2.00	0.13	3.16	0.953
2.10	0.18	2.84	0.925
2.20	0.24	2.54	0.880
2.40	0.50	1.86	0.647
2.50	0.82	1.59	0.438
2.60	1.24	1.54	0.331
2.70	1.43	1.72	0.356
2.80	1.46	1.77	0.368
2.90	1.50	1.79	0.368
3.00	1.54	1.80	0.369
3.10	1.54	1.81	0.371
3.20	1.54	1.80	0.368
3.30	1.55	1.78	0.362
3.40	1.56	1.76	0.356
3.50	1.58	1.73	0.349
3.60	1.62	1.73	0.346
3.70	1.64	1.75	0.351
3.80	1.63	1.79	0.360
3.90	1.59	1.81	0.366
4.00	1.55	1.81	0.369
4.10	1.51	1.79	0.368
4.20	1.48	1.78	0.367
4.30	1.45	1.77	0.368
4.40	1.41	1.76	0.370
4.50	1.35	1.74	0.370
4.60	1.30	1.69	0.364
4.70	1.27	1.64	0.354
4.80	1.25	1.59	0.344
4.90	1.23	1.54	0.332
5.00	1.22	1.49	0.319
5.20	1.21	1.40	0.295
5.40	1.21	1.33	0.275
5.60	1.21	1.27	0.256
5.80	1.21	1.20	0.236
6.00	1.22	1.14	0.218
6.20	1.24	1.09	0.203
6.40	1.25	1.05	0.190
6.60	1.27	1.01	0.177
6.80	1.30	0.97	0.167
7.00	1.34	0.95	0.162
7.20	1.36	0.95	0.161
7.40	1.38	0.96	0.164
7.60	1.38	0.98	0.169
7.80	1.35	0.99	0.171
8.00	1.31	0.96	0.165
8.20	1.30	0.92	0.155
8.40	1.30	0.89	0.147
8.60	1.31	0.88	0.144
8.80	1.31	0.86	0.140
9.00	1.30	0.83	0.133
9.20	1.31	0.81	0.126
9.40	1.33	0.78	0.122
9.60	1.36	0.78	0.121
9.80	1.37	0.79	0.124
10.00	1.37	0.80	0.126
10.20	1.36	0.80	0.127
10.40	1.35	0.80	0.125
10.60	1.34	0.79	0.123
10.80	1.34	0.77	0.120
11.00	1.34	0.76	0.116
11.20	1.34	0.74	0.113
11.40	1.35	0.73	0.111
11.60	1.36	0.72	0.109
11.80	1.38	0.71	0.108
12.00	1.39	0.71	0.109

