0.10	29.69	71.57	0.980
0.50	1.71	17.63	0.979
1.00	0.44	8.48	0.976
1.50	0.26	5.26	0.965
1.70	0.22	4.43	0.958
1.75	0.21	4.25	0.956
1.80	0.21	4.04	0.952
1.85	0.22	3.85	0.947
1.90	0.21	3.67	0.943
2.00	0.27	3.24	0.910
2.10	0.47	2.81	0.814
2.20	0.83	2.60	0.673
2.30	1.04	2.59	0.618
2.40	1.12	2.60	0.602
2.60	1.15	2.50	0.577
2.80	1.17	2.36	0.545
3.00	1.18	2.21	0.509
3.20	1.23	2.07	0.468
3.40	1.27	1.95	0.434
3.60	1.31	1.87	0.407
3.80	1.34	1.81	0.387
4.00	1.34	1.72	0.364
4.20	1.42	1.64	0.336
4.40	1.49	1.64	0.329
4.60	1.52	1.67	0.334
4.80	1.53	1.71	0.345
5.00	1.47	1.78	0.366
5.20	1.38	1.80	0.380
5.40	1.28	1.78	0.389
5.60	1.18	1.74	0.391
5.80	1.10	1.67	0.389
6.00	1.04	1.59	0.380
6.50	0.96	1.37	0.329
7.00	0.97	1.20	0.271
7.50	1.00	1.09	0.230
8.00	1.03	1.03	0.206
8.50	1.03	0.98	0.189
9.00	1.03	0.92	0.171
9.50	1.03	0.87	0.154
10.00	1.04	0.82	0.139
11.00	1.07	0.75	0.118
12.00	1.09	0.73	0.111

